User_ID,User_Name,User_Age,Gender,Country,TV_Show_Name,Genre,Platform,Watch_Time_Hours,Rating_Given_By_User,Watch_Frequency_Per_Week,Completion_Status,User_Satisfaction_Score,Cluster
1122.0,Diya Reddy,0.5,Male,India,TVF Pitchers,Action,SonyLIV,10.1,0.6166666666666667,0.16666666666666666,Dropped,0.16,0
1102.0,Ishaan Singh,0.9090909090909091,Male,India,Aspirants,Sci-Fi,Netflix,45.2,0.8833333333333334,0.5,Completed,0.84,1
1069.0,Sara Patel,0.29545454545454547,Female,India,Out of Love,Crime,MX Player,33.3,0.15000000000000005,0.8333333333333334,Dropped,0.33,2
1115.0,Krishna Singh,0.7272727272727273,Male,India,Criminal Justice,Crime,JioCinema,48.9,0.0,0.3333333333333333,Completed,0.39,1
1105.0,Myra Reddy,0.6818181818181818,Female,India,Duranga,Comedy,SonyLIV,48.2,0.8333333333333334,0.3333333333333333,Ongoing,0.87,1
1027.0,Arjun Verma,0.11363636363636363,Male,India,The Night Manager,Action,Disney+ Hotstar,10.1,0.85,1.0,Ongoing,0.18,0
1119.0,Rohan Kumar,0.36363636363636365,Female,India,Rocket Boys,Thriller,JioCinema,23.2,0.8000000000000002,0.8333333333333334,Ongoing,0.41,2
1017.0,Anika Gupta,0.8636363636363636,Female,India,The Freelancer,Romance,MX Player,23.0,0.3,0.16666666666666666,Completed,0.27,2
1018.0,Karan Verma,0.5681818181818182,Female,India,Sacred Games,Drama,MX Player,39.0,0.9499999999999998,0.3333333333333333,Completed,0.76,1
1149.0,Sara Patel,0.6136363636363636,Male,India,Out of Love,Romance,Disney+ Hotstar,37.6,0.5,0.8333333333333334,Completed,0.53,1
1143.0,Sai Gupta,0.5454545454545454,Female,India,Undekhi,Thriller,Amazon Prime,34.8,0.20000000000000004,0.16666666666666666,Completed,0.36,1
1076.0,Aadhya Reddy,0.7954545454545454,Female,India,Undekhi,Comedy,SonyLIV,44.5,0.1166666666666667,0.3333333333333333,Dropped,0.42,1
1131.0,Anika Mehta,0.3409090909090909,Male,India,Farzi,Crime,ZEE5,49.3,0.8166666666666668,1.0,Dropped,0.88,1
1131.0,Riya Singh,0.18181818181818182,Male,India,Gullak,Comedy,SonyLIV,6.9,0.15000000000000005,0.3333333333333333,Completed,0.07,0
1177.0,Aditya Chopra,0.1590909090909091,Male,India,Taaza Khabar,Comedy,MX Player,7.3,0.5,0.5,Ongoing,0.1,0
1108.0,Diya Mehta,0.18181818181818182,Male,India,Panchayat,Drama,ZEE5,10.3,0.08333333333333333,0.8333333333333334,Dropped,0.09,0
1080.0,Ishaan Verma,0.8636363636363636,Female,India,The Night Manager,Romance,ZEE5,30.2,0.2833333333333334,0.3333333333333333,Ongoing,0.34,2
